					郑州商品交易所期货交易参数(2026-05-27)
合约代码|上市日期|交易单位|最小变动价位|上日结算价|涨跌停板幅度(%)|日持仓限额|交易限额|最小开仓量下单量|限价单最大下单量|市价单最大下单量
AP610       |2025-10-23 |10             |1.00       |7,575.00        |8               |1,000      |           |1          |1,000      |200        
AP611       |2025-11-17 |10             |1.00       |7,486.00        |8               |1,000      |           |1          |1,000      |200        
AP612       |2025-12-15 |10             |1.00       |7,548.00        |8               |1,000      |           |1          |1,000      |200        
AP701       |2026-01-19 |10             |1.00       |7,589.00        |8               |1,000      |           |1          |1,000      |200        
AP703       |2026-03-16 |10             |1.00       |7,610.00        |8               |1,000      |           |1          |1,000      |200        
AP704       |2026-04-16 |10             |1.00       |7,713.00        |8               |1,000      |           |1          |1,000      |200        
AP705       |2026-05-20 |10             |1.00       |7,743.00        |8               |1,000      |           |1          |1,000      |200        
CF607       |2025-07-15 |5              |5.00       |15,865.00       |6               |20,000     |10,000     |1          |1,000      |200        
CF609       |2025-09-15 |5              |5.00       |16,035.00       |6               |66,960     |10,000     |1          |1,000      |200        
CF611       |2025-11-17 |5              |5.00       |16,270.00       |6               |20,000     |10,000     |1          |1,000      |200        
CF701       |2026-01-19 |5              |5.00       |16,485.00       |6               |20,000     |10,000     |1          |1,000      |200        
CF703       |2026-03-16 |5              |5.00       |16,295.00       |6               |20,000     |10,000     |1          |1,000      |200        
CF705       |2026-05-20 |5              |5.00       |16,235.00       |6               |20,000     |10,000     |1          |1,000      |200        
CJ607       |2025-07-15 |5              |5.00       |8,945.00        |7               |600        |           |1          |100        |20         
CJ609       |2025-09-15 |5              |5.00       |9,170.00        |7               |600        |           |1          |100        |20         
CJ612       |2025-12-15 |5              |5.00       |9,800.00        |7               |600        |           |1          |100        |20         
CJ701       |2026-01-19 |5              |5.00       |9,875.00        |7               |600        |           |1          |100        |20         
CJ703       |2026-03-16 |5              |5.00       |9,965.00        |7               |600        |           |1          |100        |20         
CJ705       |2026-05-20 |5              |5.00       |10,145.00       |7               |600        |           |1          |100        |20         
CY606       |2025-06-17 |5              |5.00       |22,165.00       |4               |500        |           |1          |1,000      |200        
CY607       |2025-07-15 |5              |5.00       |22,185.00       |4               |5,000      |           |1          |1,000      |200        
CY608       |2025-08-15 |5              |5.00       |22,140.00       |4               |5,000      |           |1          |1,000      |200        
CY609       |2025-09-15 |5              |5.00       |22,260.00       |4               |5,000      |           |1          |1,000      |200        
CY610       |2025-10-23 |5              |5.00       |22,625.00       |4               |5,000      |           |1          |1,000      |200        
CY611       |2025-11-17 |5              |5.00       |22,660.00       |4               |5,000      |           |1          |1,000      |200        
CY612       |2025-12-15 |5              |5.00       |23,010.00       |4               |5,000      |           |1          |1,000      |200        
CY701       |2026-01-19 |5              |5.00       |22,490.00       |4               |5,000      |           |1          |1,000      |200        
CY702       |2026-02-24 |5              |5.00       |22,725.00       |8               |5,000      |           |1          |1,000      |200        
CY703       |2026-03-16 |5              |5.00       |22,705.00       |4               |5,000      |           |1          |1,000      |200        
CY704       |2026-04-16 |5              |5.00       |22,495.00       |4               |5,000      |           |1          |1,000      |200        
CY705       |2026-05-20 |5              |5.00       |22,565.00       |8               |5,000      |           |1          |1,000      |200        
FG606       |2025-06-17 |20             |1.00       |960.00          |9               |5,000      |25,000     |1          |1,000      |200        
FG607       |2025-07-15 |20             |1.00       |951.00          |9               |20,000     |25,000     |1          |1,000      |200        
FG608       |2025-08-15 |20             |1.00       |1,029.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG609       |2025-09-15 |20             |1.00       |1,026.00        |9               |152,208    |25,000     |1          |1,000      |200        
FG610       |2025-10-23 |20             |1.00       |1,073.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG611       |2025-11-17 |20             |1.00       |1,067.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG612       |2025-12-15 |20             |1.00       |1,125.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG701       |2026-01-19 |20             |1.00       |1,120.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG702       |2026-02-24 |20             |1.00       |1,157.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG703       |2026-03-16 |20             |1.00       |1,152.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG704       |2026-04-16 |20             |1.00       |1,191.00        |9               |20,000     |25,000     |1          |1,000      |200        
FG705       |2026-05-20 |20             |1.00       |1,189.00        |9               |20,000     |25,000     |1          |1,000      |200        
JR607       |2025-07-15 |20             |1.00       |2,662.00        |14              |20,000     |           |10         |1,000      |200        
JR609       |2025-09-15 |20             |1.00       |2,662.00        |14              |20,000     |           |10         |1,000      |200        
JR611       |2025-11-17 |20             |1.00       |2,662.00        |14              |20,000     |           |10         |1,000      |200        
JR701       |2026-01-19 |20             |1.00       |2,662.00        |14              |20,000     |           |10         |1,000      |200        
JR703       |2026-03-16 |20             |1.00       |2,662.00        |14              |20,000     |           |10         |1,000      |200        
JR705       |2026-05-20 |20             |1.00       |2,662.00        |14              |20,000     |           |10         |1,000      |200        
MA606       |2025-06-17 |10             |1.00       |3,002.00        |11              |3,000      |25,000     |8          |1,000      |200        
MA607       |2025-07-15 |10             |1.00       |2,942.00        |11              |30,000     |25,000     |4          |1,000      |200        
MA608       |2025-08-15 |10             |1.00       |2,891.00        |11              |30,000     |25,000     |4          |1,000      |200        
MA609       |2025-09-15 |10             |1.00       |2,842.00        |11              |70,914     |25,000     |4          |1,000      |200        
MA610       |2025-10-23 |10             |1.00       |2,773.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA611       |2025-11-17 |10             |1.00       |2,735.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA612       |2025-12-15 |10             |1.00       |2,731.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA701       |2026-01-19 |10             |1.00       |2,719.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA702       |2026-02-24 |10             |1.00       |2,687.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA703       |2026-03-16 |10             |1.00       |2,655.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA704       |2026-04-16 |10             |1.00       |2,643.00        |6               |30,000     |25,000     |1          |1,000      |200        
MA705       |2026-05-20 |10             |1.00       |2,632.00        |6               |30,000     |25,000     |1          |1,000      |200        
OI607       |2025-07-15 |10             |1.00       |9,688.00        |6               |10,000     |10,000     |1          |1,000      |200        
OI609       |2025-09-15 |10             |1.00       |9,634.00        |6               |23,634     |10,000     |1          |1,000      |200        
OI611       |2025-11-17 |10             |1.00       |9,631.00        |6               |10,000     |10,000     |1          |1,000      |200        
OI701       |2026-01-19 |10             |1.00       |9,641.00        |6               |10,000     |10,000     |1          |1,000      |200        
OI703       |2026-03-16 |10             |1.00       |9,627.00        |6               |10,000     |10,000     |1          |1,000      |200        
OI705       |2026-05-20 |10             |1.00       |9,596.00        |6               |10,000     |10,000     |1          |1,000      |200        
PF606       |2025-06-17 |5              |2.00       |7,570.00        |11              |1,500      |           |8          |1,000      |200        
PF607       |2025-07-15 |5              |2.00       |7,554.00        |11              |12,916     |           |1          |1,000      |200        
PF608       |2025-08-15 |5              |2.00       |7,506.00        |11              |10,000     |           |1          |1,000      |200        
PF609       |2025-09-15 |5              |2.00       |7,466.00        |11              |10,000     |           |1          |1,000      |200        
PF610       |2025-10-23 |5              |2.00       |7,498.00        |6               |10,000     |           |1          |1,000      |200        
PF611       |2025-11-17 |5              |2.00       |7,460.00        |6               |10,000     |           |1          |1,000      |200        
PF612       |2025-12-15 |5              |2.00       |7,400.00        |6               |10,000     |           |1          |1,000      |200        
PF701       |2026-01-19 |5              |2.00       |7,396.00        |6               |10,000     |           |1          |1,000      |200        
PF702       |2026-02-24 |5              |2.00       |7,328.00        |6               |10,000     |           |1          |1,000      |200        
PF703       |2026-03-16 |5              |2.00       |7,276.00        |6               |10,000     |           |1          |1,000      |200        
PF704       |2026-04-16 |5              |2.00       |7,352.00        |6               |10,000     |           |1          |1,000      |200        
PF705       |2026-05-20 |5              |2.00       |7,322.00        |6               |10,000     |           |1          |1,000      |200        
PK610       |2025-10-23 |5              |2.00       |8,178.00        |6               |5,000      |           |1          |1,000      |200        
PK611       |2025-11-17 |5              |2.00       |8,128.00        |6               |5,000      |           |1          |1,000      |200        
PK612       |2025-12-15 |5              |2.00       |8,150.00        |6               |5,000      |           |1          |1,000      |200        
PK701       |2026-01-19 |5              |2.00       |8,210.00        |6               |5,000      |           |1          |1,000      |200        
PK703       |2026-03-16 |5              |2.00       |8,218.00        |6               |5,000      |           |1          |1,000      |200        
